Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,Diameter Max
(2020 SW),2083-05-22 01:48:00,0.03679,0.03527,5.87,5.86,29.1,4.1 m -  9.2 m,0.0,9.2
(2010 JK1),2083-05-29 01:22:00,0.0233,0.02258,4.09,4.06,24.4,35 m -   78 m,0.0,78.0
(2021 LW3),2083-06-07 03:12:00,0.01583,0.01258,10.02,10.01,23.1,64 m -  140 m,1.0,140.0
(2018 UC),2083-06-10 02:43:00,0.04087,0.02333,8.49,8.48,25.9,18 m -   39 m,0.0,39.0
(2020 MO1),2083-07-01 03:35:00,0.03066,0.02829,18.46,18.45,23.6,51 m -  110 m,0.0,110.0
(2020 KB3),2083-07-04 04:35:00,0.04022,0.03979,7.75,7.74,24.8,29 m -   65 m,0.0,65.0
(2015 OQ21),2083-07-27 00:06:00,0.04414,0.04403,9.0,9.0,27.9,7.0 m -   16 m,0.0,16.0
(2022 QB1),2083-08-28 01:39:00,0.02274,0.02263,3.83,3.8,28.9,4.4 m -  9.9 m,0.0,9.9
(2022 RW),2083-09-06 00:43:00,0.02513,0.02153,11.28,11.27,23.4,55 m -  120 m,1.0,120.0
(2020 AE),2083-09-10 07:07:00,0.04117,0.03125,7.92,7.91,25.7,19 m -   43 m,0.0,43.0
(2021 CG3),2083-09-12 01:06:00,0.04462,0.0443,8.85,8.85,22.7,77 m -  170 m,0.0,170.0
(2018 RO5),2083-09-12 08:12:00,0.03547,0.02377,8.43,8.43,25.6,20 m -   45 m,0.0,45.0
(1999 SH10),2083-09-23 01:56:00,0.04719,0.04585,7.2,7.2,22.8,75 m -  170 m,0.0,170.0
(2016 RE34),2083-09-26 12:22:00,0.0207,0.01961,5.2,5.18,28.3,5.8 m -   13 m,0.0,13.0
(2010 TK19),2083-10-04 01:40:00,0.04341,0.04322,7.47,7.46,24.9,28 m -   62 m,0.0,62.0
(2022 UQ),2083-10-13 07:14:00,0.04582,0.03946,11.74,11.73,26.5,13 m -   29 m,0.0,29.0
(2018 TU4),2083-10-15 07:40:00,0.03381,0.02932,11.54,11.53,25.5,21 m -   47 m,0.0,47.0
(2007 UW1),2083-10-17 00:07:00,0.01588,0.01583,4.61,4.58,22.7,77 m -  170 m,1.0,170.0
(2020 HJ4),2083-10-21 00:23:00,0.04445,0.04432,13.15,13.15,20.1,250 m -  560 m,1.0,560.0
(2021 TO15),2083-10-26 06:09:00,0.00722,0.00678,13.04,13.02,25.2,25 m -   55 m,1.0,55.0
(2019 UL8),2083-11-04 03:03:00,0.01113,0.00948,12.9,12.88,26.3,15 m -   33 m,0.0,33.0
(2014 WQ202),2083-11-08 19:32:00,0.02905,0.02803,18.34,18.33,23.8,46 m -  100 m,0.0,100.0
(1991 VG),2083-11-09 05:54:00,0.0449,0.04337,2.24,2.22,28.3,5.8 m -   13 m,0.0,13.0
(2018 VB10),2083-11-10 10:41:00,0.01959,0.01751,8.21,8.19,25.8,18 m -   41 m,0.0,41.0
(2019 UY8),2083-11-11 03:22:00,0.03981,0.03154,12.69,12.68,24.7,31 m -   68 m,0.0,68.0
(2022 WJ10),2083-11-19 01:17:00,0.02361,0.01497,9.74,9.73,27.6,8.1 m -   18 m,0.0,18.0
(2022 XT),2083-12-07 00:18:00,0.01615,0.01614,14.44,14.43,25.8,18 m -   41 m,0.0,41.0
(2019 YS3),2083-12-30 00:52:00,0.03798,0.0222,6.81,6.8,24.7,31 m -   68 m,0.0,68.0
(2015 BL311),2084-01-18 00:36:00,0.03763,0.03747,29.41,29.4,21.0,170 m -  380 m,1.0,380.0
(2017 XR61),2084-01-20 05:23:00,0.02871,0.02731,8.11,8.1,23.1,64 m -  140 m,1.0,140.0
(2022 BU6),2084-02-11 02:08:00,0.04057,0.03785,11.92,11.92,25.9,17 m -   38 m,0.0,38.0
(1995 CR),2084-02-21 00:02:00,0.02152,0.02149,30.35,30.34,21.7,120 m -  270 m,1.0,270.0
(2008 UB95),2084-03-09 00:05:00,0.03758,0.03753,9.39,9.38,24.8,29 m -   65 m,0.0,65.0
(2015 FD),2084-03-09 17:36:00,0.01185,0.01116,7.61,7.59,26.6,13 m -   28 m,0.0,28.0
(2006 SF7),2084-03-24 00:10:00,0.049,0.04894,14.51,14.51,22.4,88 m -  200 m,0.0,200.0
(2005 YA37),2084-03-30 00:29:00,0.03897,0.03897,3.34,3.32,22.3,91 m -  200 m,1.0,200.0
(2018 ER1),2084-04-02 09:28:00,0.02541,0.01877,4.26,4.23,25.6,20 m -   45 m,0.0,45.0
(2011 BG24),2084-04-15 07:36:00,0.03125,0.03106,6.37,6.36,26.9,11 m -   24 m,0.0,24.0
(2022 GC1),2084-04-15 23:08:00,0.03452,0.03195,13.87,13.87,22.8,74 m -  170 m,1.0,170.0
(2017 HG4),2084-04-16 02:23:00,0.02375,0.02299,4.16,4.13,27.7,7.7 m -   17 m,0.0,17.0
(2020 HO5),2084-04-18 01:39:00,0.01281,0.01212,2.57,2.49,28.5,5.3 m -   12 m,0.0,12.0
(2020 YE5),2084-05-08 00:24:00,0.02294,0.02289,10.56,10.55,25.7,19 m -   42 m,0.0,42.0
(2010 HX107),2084-05-23 00:06:00,0.01489,0.01489,5.96,5.93,23.6,0.064±0.010 km,1.0,
(2014 MZ17),2084-06-07 00:16:00,0.04223,0.04215,5.04,5.02,24.1,40 m -   90 m,0.0,90.0
(2018 YQ2),2084-06-11 10:30:00,0.01135,0.00611,6.61,6.58,26.1,16 m -   36 m,0.0,36.0
(2020 OC),2084-07-08 06:32:00,0.02373,0.02273,4.35,4.32,26.6,13 m -   28 m,0.0,28.0
(2011 OA),2084-07-12 00:17:00,0.04574,0.04574,8.95,8.94,21.2,150 m -  340 m,1.0,340.0
(2017 MB5),2084-07-26 00:03:00,0.03646,0.03645,7.2,7.19,22.7,77 m -  170 m,1.0,170.0
(2018 PN22),2084-07-29 03:38:00,0.02579,0.02414,2.82,2.79,27.5,8.4 m -   19 m,0.0,19.0
(2021 TS6),2084-07-30 06:23:00,0.01572,0.0155,7.91,7.89,25.9,18 m -   40 m,0.0,40.0
(2018 PC),2084-08-06 00:03:00,0.032,0.032,9.35,9.34,23.9,44 m -   99 m,0.0,99.0
(2002 CB19),2084-08-10 00:01:00,0.00537,0.00536,15.62,15.59,25.0,27 m -   59 m,1.0,59.0
(2020 QU5),2084-08-17 07:28:00,0.01832,0.01158,14.48,14.47,25.7,19 m -   43 m,0.0,43.0
(2013 RG74),2084-09-22 00:39:00,0.03166,0.01545,18.77,18.76,23.4,57 m -  130 m,0.0,130.0
(2011 CD22),2084-09-22 05:50:00,0.03684,0.03544,16.97,16.96,22.4,88 m -  200 m,1.0,200.0
(2020 SW),2084-09-24 07:08:00,0.0261,0.01116,6.39,6.38,29.1,4.1 m -  9.2 m,0.0,9.2
465617 (2009 EK1),2084-09-25 00:46:00,0.04411,0.04404,6.3,6.29,21.4,140 m -  320 m,1.0,320.0
(2019 SU3),2084-09-27 00:56:00,0.02167,0.02152,2.96,2.92,27.2,9.7 m -   22 m,0.0,22.0
(2017 SS10),2084-09-27 01:25:00,0.02483,0.02451,11.92,11.92,25.2,24 m -   54 m,0.0,54.0
(2017 SP21),2084-09-30 16:56:00,0.04255,0.00855,8.16,8.15,27.8,7.3 m -   16 m,0.0,16.0
(2017 SO21),2084-10-03 02:49:00,0.041,0.03991,5.75,5.74,25.3,23 m -   52 m,0.0,52.0
(2014 OM339),2084-10-12 00:05:00,0.03408,0.03407,10.54,10.53,21.4,140 m -  300 m,1.0,300.0
(2022 GN5),2084-10-20 00:04:00,0.02771,0.02769,19.05,19.05,18.6,500 m -  1.1 km,2.0,
(2021 VH),2084-11-02 01:55:00,0.02224,0.00181,5.04,5.01,29.6,3.2 m -  7.1 m,0.0,7.1
(2016 WT7),2084-11-21 00:38:00,0.01717,0.01597,3.57,3.52,25.9,18 m -   39 m,0.0,39.0
(2013 UB3),2084-11-21 09:45:00,0.04849,0.04708,4.95,4.94,25.8,18 m -   41 m,0.0,41.0
(2007 VM184),2084-12-01 00:01:00,0.03708,0.03707,20.16,20.15,21.0,170 m -  380 m,1.0,380.0
(2014 VG2),2084-12-17 00:01:00,0.0263,0.02629,5.71,5.69,22.7,0.085±0.025 km,1.0,
443104 (2013 XK22),2084-12-20 12:03:00,0.02576,0.015,7.65,7.64,24.2,39 m -   88 m,0.0,88.0
(2017 YS1),2084-12-21 00:14:00,0.03001,0.02954,2.99,2.96,28.9,4.4 m -  9.9 m,0.0,9.9
(2011 YD29),2085-01-01 14:05:00,0.01716,0.01662,6.53,6.51,26.3,15 m -   33 m,0.0,33.0
(2007 RT12),2085-01-28 03:12:00,0.04946,0.04914,5.62,5.61,23.9,44 m -   99 m,0.0,99.0
(2018 CB),2085-02-03 03:24:00,0.03407,0.03316,7.37,7.36,25.9,18 m -   39 m,0.0,39.0
(2019 CQ5),2085-02-10 21:36:00,0.04216,0.01095,10.5,10.49,27.5,8.4 m -   19 m,0.0,19.0
(2021 DE),2085-02-28 13:11:00,0.02179,0.00885,25.76,25.75,24.4,36 m -   79 m,0.0,79.0
(2012 EO5),2085-03-05 04:56:00,0.02581,0.02508,12.96,12.95,23.4,56 m -  120 m,1.0,120.0
(2022 FJ),2085-03-22 07:06:00,0.02243,0.02099,9.15,9.14,26.4,14 m -   32 m,0.0,32.0
(2016 FG14),2085-03-26 18:18:00,0.037,0.03645,13.11,13.1,26.2,15 m -   34 m,0.0,34.0
(2019 GA),2085-03-29 02:38:00,0.01699,0.01679,15.24,15.23,23.6,51 m -  110 m,1.0,110.0
(1994 GL),2085-04-01 00:07:00,0.02608,0.02608,9.25,9.24,25.5,21 m -   47 m,0.0,47.0
(2022 HG1),2085-04-18 00:10:00,0.0374,0.03687,10.51,10.5,26.6,13 m -   29 m,0.0,29.0
(2019 FN2),2085-04-19 00:57:00,0.01629,0.01552,8.01,7.99,23.7,48 m -  110 m,1.0,110.0
(2007 VZ137),2085-04-20 00:47:00,0.033,0.03262,17.71,17.71,21.6,130 m -  280 m,1.0,280.0
(2020 HO5),2085-04-20 16:18:00,0.04409,0.0395,2.41,2.38,28.5,5.3 m -   12 m,0.0,12.0
(2001 BF10),2085-04-28 05:04:00,0.00965,0.00848,9.01,8.98,22.6,80 m -  180 m,2.0,180.0
(2021 GP3),2085-05-09 04:41:00,0.03885,0.03883,7.33,7.32,24.1,40 m -   90 m,0.0,90.0
(2018 NE),2085-06-06 00:02:00,0.0466,0.04659,6.99,6.98,23.5,53 m -  120 m,0.0,120.0
(2021 LK6),2085-06-09 17:47:00,0.01582,2e-05,12.15,12.13,28.4,5.6 m -   12 m,0.0,12.0
(2018 PN22),2085-07-30 06:26:00,0.01502,0.0144,2.63,2.56,27.5,8.4 m -   19 m,0.0,19.0
(2022 QP31),2085-08-27 02:19:00,0.01259,0.00665,6.04,6.01,26.5,13 m -   29 m,0.0,29.0
(2017 FV),2085-09-09 00:04:00,0.03877,0.03875,15.66,15.66,24.6,32 m -   71 m,0.0,71.0
(2002 QQ40),2085-09-14 00:02:00,0.04137,0.04135,18.18,18.17,21.5,130 m -  300 m,1.0,300.0
(2007 TD),2085-09-21 01:42:00,0.04728,0.03976,13.17,13.16,24.4,35 m -   78 m,0.0,78.0
(2016 CW193),2085-09-22 00:02:00,0.01151,0.0115,16.14,16.12,21.6,130 m -  280 m,2.0,280.0
(2018 BP),2085-09-25 00:23:00,0.00432,0.00427,7.66,7.58,20.6,210 m -  460 m,3.0,460.0
(2019 TE3),2085-10-06 00:10:00,0.04244,0.04187,11.98,11.98,25.5,21 m -   47 m,0.0,47.0
(2012 VM6),2085-10-21 00:08:00,0.04552,0.04544,6.11,6.1,25.3,23 m -   52 m,0.0,52.0
(2022 UG28),2085-10-21 11:41:00,0.03394,0.02807,10.7,10.69,26.3,15 m -   33 m,0.0,33.0
(2002 VX91),2085-11-02 05:55:00,0.02725,0.01869,7.42,7.41,24.3,37 m -   82 m,0.0,82.0
(2021 VA2),2085-11-06 00:57:00,0.02648,0.02582,13.18,13.17,25.1,26 m -   57 m,0.0,57.0
(2012 TY52),2085-11-07 00:03:00,0.03516,0.03514,14.34,14.33,21.3,150 m -  330 m,1.0,330.0
(2020 UL3),2085-11-13 00:44:00,0.00118,0.00111,10.4,10.18,23.2,61 m -  140 m,3.0,140.0
(2008 WD14),2085-11-20 00:01:00,0.00478,0.00478,8.72,8.65,22.8,73 m -  160 m,2.0,160.0
(2018 WC2),2085-12-05 18:53:00,0.01228,0.00645,9.85,9.82,25.0,27 m -   59 m,0.0,59.0
33342 (1998 WT24),2085-12-06 00:01:00,0.03498,0.03498,8.4,8.39,18.0,0.432±0.028 km,2.0,
(2015 XD169),2085-12-08 10:12:00,0.03527,0.03129,4.45,4.44,26.9,11 m -   25 m,0.0,25.0
(2018 XC4),2085-12-16 02:23:00,0.0494,0.0485,9.1,9.1,26.3,15 m -   33 m,0.0,33.0
(2017 YS1),2085-12-21 00:28:00,0.01031,0.00952,3.51,3.44,28.9,4.4 m -  9.9 m,0.0,9.9
(2008 WZ94),2085-12-23 00:02:00,0.04642,0.04641,26.18,26.18,20.2,240 m -  530 m,1.0,530.0
(2018 KP1),2086-01-07 00:37:00,0.0205,0.02037,4.38,4.35,25.0,27 m -   59 m,0.0,59.0
(2019 YV),2086-01-09 00:04:00,0.04235,0.04233,4.62,4.61,23.6,51 m -  110 m,0.0,110.0
(2018 AS2),2086-01-14 00:05:00,0.02569,0.01303,6.78,6.76,28.6,5.1 m -   11 m,0.0,11.0
(2019 BE3),2086-02-02 16:19:00,0.00932,0.00774,19.61,19.59,24.4,35 m -   78 m,1.0,78.0
(2003 CA4),2086-02-07 00:04:00,0.04441,0.04441,4.62,4.6,23.6,51 m -  110 m,0.0,110.0
(2016 CO29),2086-02-19 05:13:00,0.03409,0.03135,7.01,6.99,25.0,27 m -   59 m,0.0,59.0
(2021 DK1),2086-02-21 00:06:00,0.03813,0.03786,16.24,16.24,23.6,50 m -  110 m,0.0,110.0
(2012 DK31),2086-02-27 00:03:00,0.02524,0.02522,14.66,14.65,22.0,110 m -  240 m,1.0,240.0
(2019 EM1),2086-02-28 10:26:00,0.02191,7e-05,17.17,17.16,22.3,92 m -  210 m,1.0,210.0
(1996 BG1),2086-03-03 00:30:00,0.0294,0.02893,8.69,8.67,23.8,46 m -  100 m,0.0,100.0
(2019 CJ),2086-03-04 11:20:00,0.0217,0.02144,4.48,4.46,25.5,21 m -   47 m,0.0,47.0
(2019 EE1),2086-03-11 13:43:00,0.03707,0.03662,9.06,9.06,26.1,16 m -   36 m,0.0,36.0
(2018 FH1),2086-03-13 20:27:00,0.02872,0.00764,5.73,5.71,26.6,13 m -   28 m,0.0,28.0
(2016 RP40),2086-03-20 00:02:00,0.04494,0.04493,9.41,9.41,24.8,29 m -   65 m,0.0,65.0
(2011 GE3),2086-03-29 01:06:00,0.01635,0.01622,6.49,6.46,25.9,18 m -   40 m,0.0,40.0
(2014 TW),2086-04-01 05:33:00,0.02589,0.02345,4.78,4.76,26.1,16 m -   36 m,0.0,36.0
(2022 FM2),2086-04-02 12:22:00,0.03358,0.02867,6.34,6.32,26.3,14 m -   32 m,0.0,32.0
(2021 GL16),2086-04-08 04:14:00,0.03605,0.03275,4.77,4.75,26.3,15 m -   33 m,0.0,33.0
(2018 GY3),2086-04-10 01:40:00,0.00344,0.00259,11.26,11.19,27.6,8.0 m -   18 m,0.0,18.0
(2019 GE1),2086-04-12 14:43:00,0.0264,0.00908,5.64,5.62,27.0,11 m -   24 m,0.0,24.0
(2021 GQ10),2086-04-13 02:40:00,0.04624,0.03145,6.15,6.14,26.6,13 m -   28 m,0.0,28.0
(2019 VR),2086-04-29 10:42:00,0.03037,0.01779,9.85,9.84,28.1,6.4 m -   14 m,0.0,14.0
(2020 KL),2086-05-14 18:30:00,0.01942,0.01774,6.05,6.03,24.8,29 m -   65 m,0.0,65.0
(2019 HG4),2086-05-22 00:02:00,0.04356,0.04356,17.47,17.47,22.3,92 m -  210 m,1.0,210.0
(2019 JL3),2086-05-29 06:54:00,0.03238,0.03142,7.95,7.94,24.9,28 m -   62 m,0.0,62.0
(2022 FU3),2086-06-12 00:06:00,0.04141,0.0414,7.17,7.16,21.4,140 m -  310 m,1.0,310.0
(2018 PN22),2086-07-25 13:59:00,0.04578,0.03829,3.13,3.11,27.5,8.4 m -   19 m,0.0,19.0
(2012 OQ),2086-07-27 00:08:00,0.03415,0.03407,11.33,11.33,21.9,110 m -  250 m,1.0,250.0
(2021 PZ9),2086-07-30 16:50:00,0.04099,0.02091,7.38,7.37,26.9,11 m -   24 m,0.0,24.0
(2019 ON),2086-07-31 17:44:00,0.01794,0.01613,4.65,4.62,25.2,24 m -   54 m,0.0,54.0
(2019 AK13),2086-08-01 15:27:00,0.03059,0.02675,9.82,9.81,23.6,51 m -  110 m,0.0,110.0
(2006 QQ23),2086-08-14 00:12:00,0.04479,0.04478,4.74,4.73,20.0,270 m -  590 m,1.0,590.0
(2022 QB1),2086-08-17 15:20:00,0.01416,0.01384,3.74,3.69,28.9,4.4 m -  9.9 m,0.0,9.9
(2017 PV25),2086-08-24 04:59:00,0.04481,0.04255,5.25,5.24,24.7,31 m -   68 m,0.0,68.0
(2005 QP11),2086-09-04 18:54:00,0.02681,0.01662,4.46,4.44,26.4,14 m -   31 m,0.0,31.0
(2015 BE92),2086-09-07 00:03:00,0.01771,0.01754,5.95,5.93,28.1,6.4 m -   14 m,0.0,14.0
(2019 SY6),2086-09-22 16:35:00,0.02029,0.01358,15.16,15.15,25.1,25 m -   57 m,0.0,57.0
(2014 TW),2086-09-29 14:40:00,0.0481,0.04368,4.9,4.88,26.1,16 m -   36 m,0.0,36.0
(2004 TE10),2086-10-17 00:02:00,0.03436,0.03434,16.24,16.24,24.0,42 m -   94 m,0.0,94.0
(2019 UO2),2086-10-18 02:35:00,0.03321,0.03062,12.64,12.64,25.8,18 m -   41 m,0.0,41.0
(2022 UU8),2086-10-27 10:04:00,0.01151,0.00083,4.73,4.68,28.0,6.8 m -   15 m,0.0,15.0
69230 Hermes (1937 UB),2086-10-31 00:01:00,0.0244,0.02438,18.96,18.96,17.5,830 m -  1.8 km,2.0,
(2005 TG50),2086-11-14 15:08:00,0.0492,0.04893,2.77,2.75,24.8,29 m -   64 m,0.0,64.0
(2020 WG5),2086-11-22 19:53:00,0.01353,0.00938,5.61,5.57,27.8,7.5 m -   17 m,0.0,17.0
(2019 VK),2086-11-28 15:51:00,0.00875,0.00811,7.28,7.24,24.5,33 m -   75 m,1.0,75.0
(2019 XO2),2086-12-02 00:02:00,0.02486,0.02484,17.12,17.12,21.1,160 m -  360 m,1.0,360.0
357594 (2004 XL35),2086-12-08 00:03:00,0.0409,0.04086,15.73,15.73,19.6,310 m -  700 m,1.0,700.0
(2014 HD177),2086-12-09 00:02:00,0.04894,0.04892,12.49,12.48,22.9,71 m -  160 m,0.0,160.0
(2014 YR14),2086-12-21 02:57:00,0.04924,0.04812,13.66,13.66,26.1,16 m -   36 m,0.0,36.0
(2012 UK171),2087-01-04 00:03:00,0.02554,0.02553,5.07,5.05,24.4,34 m -   77 m,0.0,77.0
(2010 VB1),2087-01-04 10:08:00,0.04684,0.03932,9.2,9.19,23.2,61 m -  140 m,0.0,140.0
(2010 AL30),2087-01-16 00:56:00,0.03013,0.02893,8.76,8.75,27.2,9.7 m -   22 m,0.0,22.0
(2017 BB7),2087-02-01 06:09:00,0.02934,0.00952,7.88,7.86,28.1,6.4 m -   14 m,0.0,14.0
(2005 VL1),2087-02-06 09:11:00,0.02285,0.0019,7.02,7.0,26.4,14 m -   30 m,0.0,30.0
(2017 BU),2087-02-07 00:03:00,0.024,0.02399,8.15,8.14,25.2,24 m -   54 m,0.0,54.0
367943 Duende (2012 DA14),2087-02-15 01:34:00,0.01154,0.00968,6.22,6.18,24.2,39 m -   86 m,1.0,86.0
(2017 BW),2087-02-18 00:39:00,0.01606,0.01581,4.51,4.47,23.5,53 m -  120 m,1.0,120.0
(2019 RV3),2087-03-08 00:19:00,0.02187,0.02177,13.14,13.13,19.9,270 m -  610 m,2.0,610.0
(2022 GM1),2087-03-15 00:19:00,0.0208,0.02017,4.7,4.67,25.7,20 m -   44 m,0.0,44.0
(2016 FA),2087-03-19 02:01:00,0.02754,0.02746,5.29,5.27,25.3,23 m -   52 m,0.0,52.0
(2007 YF),2087-03-30 01:32:00,0.03051,0.03044,3.74,3.71,24.9,28 m -   64 m,0.0,64.0
200840 (2001 XN254),2087-04-04 00:01:00,0.03982,0.03982,7.16,7.15,17.8,740 m -  1.6 km,2.0,
(2018 GM),2087-04-11 00:03:00,0.03169,0.03166,22.71,22.71,21.6,130 m -  280 m,1.0,280.0
(2019 HH3),2087-04-21 14:46:00,0.04975,0.04433,11.63,11.62,25.5,21 m -   47 m,0.0,47.0
(2014 GP17),2087-04-22 21:45:00,0.02157,0.02002,8.94,8.92,25.2,24 m -   54 m,0.0,54.0
(2020 HW3),2087-04-27 01:32:00,0.04909,0.0477,27.07,27.07,22.1,100 m -  230 m,1.0,230.0
(1996 TD9),2087-04-30 00:03:00,0.02758,0.02752,12.26,12.26,23.7,48 m -  110 m,0.0,110.0
(2013 VA12),2087-05-02 00:28:00,0.02674,0.02654,12.26,12.25,22.7,77 m -  170 m,1.0,170.0
(2022 KC2),2087-05-16 03:04:00,0.0148,0.01383,7.05,7.02,27.1,10 m -   23 m,0.0,23.0
(2022 JQ1),2087-05-22 16:29:00,0.04459,0.04189,4.62,4.61,26.2,15 m -   34 m,0.0,34.0
(2010 ON101),2087-05-30 00:49:00,0.0457,0.04568,8.6,8.6,20.2,0.238±0.019 km,1.0,
(2015 KP18),2087-06-12 16:41:00,0.0495,0.04028,15.53,15.53,23.1,64 m -  140 m,0.0,140.0
(2022 NR),2087-07-14 04:14:00,0.03092,0.02978,7.73,7.72,25.9,18 m -   40 m,0.0,40.0
(2011 AT26),2087-07-16 00:46:00,0.03481,0.03468,18.89,18.88,21.6,130 m -  280 m,1.0,280.0
(2011 PU1),2087-07-30 00:13:00,0.0251,0.02505,6.06,6.04,25.6,20 m -   45 m,0.0,45.0
(2021 PZ9),2087-07-30 12:32:00,0.04137,0.02687,5.48,5.47,26.9,11 m -   24 m,0.0,24.0
(2022 RT),2087-09-02 08:35:00,0.03545,0.02922,15.5,15.5,24.6,33 m -   73 m,0.0,73.0
(2016 RN41),2087-09-11 00:25:00,0.04225,0.03352,11.42,11.41,31.0,1.7 m -  3.7 m,0.0,3.7
(2020 RW),2087-09-11 06:59:00,0.041,0.04095,8.4,8.39,24.7,31 m -   68 m,0.0,68.0
(2006 DX),2087-09-13 00:04:00,0.04961,0.0496,5.25,5.24,23.9,44 m -   99 m,0.0,99.0
(2013 FW13),2087-09-19 00:07:00,0.03315,0.03305,15.31,15.3,21.7,120 m -  270 m,1.0,270.0
(2017 SD20),2087-09-24 02:51:00,0.02505,0.01349,12.71,12.7,26.1,16 m -   36 m,0.0,36.0
(2020 SQ),2087-09-26 02:01:00,0.0098,0.00934,6.32,6.27,27.3,9.4 m -   21 m,0.0,21.0
(2007 UP6),2087-10-21 00:19:00,0.0272,0.02659,6.2,6.18,23.0,67 m -  150 m,1.0,150.0
(2018 GS1),2087-10-26 04:06:00,0.01855,0.01753,9.42,9.41,22.6,81 m -  180 m,1.0,180.0
(2014 TJ33),2087-10-31 00:07:00,0.03869,0.03863,13.15,13.14,23.0,67 m -  150 m,0.0,150.0
(2021 UZ4),2087-11-02 15:41:00,0.0139,0.01356,11.51,11.49,25.4,22 m -   48 m,0.0,48.0
(2016 VZ1),2087-11-07 17:32:00,0.01909,0.0093,13.12,13.11,26.1,16 m -   36 m,0.0,36.0
65679 (1989 UQ),2087-12-02 00:01:00,0.02394,0.0239,7.04,7.02,19.6,0.918±0.010 km,2.0,
(2006 UO),2088-01-03 00:03:00,0.04184,0.04184,8.81,8.8,21.2,150 m -  340 m,1.0,340.0
(2012 XF55),2088-01-24 00:06:00,0.02655,0.02655,5.13,5.11,22.8,73 m -  160 m,1.0,160.0
(2022 BA6),2088-01-26 02:57:00,0.02463,0.02447,2.63,2.59,26.4,14 m -   31 m,0.0,31.0
(2020 CH1),2088-02-03 23:13:00,0.03214,0.02859,8.55,8.54,25.5,21 m -   47 m,0.0,47.0
(2011 CL50),2088-02-07 11:53:00,0.02222,0.02179,3.01,2.97,27.3,9.2 m -   21 m,0.0,21.0
(2017 PV25),2088-02-12 04:27:00,0.02799,0.02616,5.74,5.72,24.7,31 m -   68 m,0.0,68.0
(2004 EU22),2088-02-27 00:03:00,0.04186,0.04186,3.53,3.51,23.7,48 m -  110 m,0.0,110.0
(2019 GV5),2088-04-13 09:45:00,0.04261,0.0315,4.97,4.96,29.4,3.5 m -  7.8 m,0.0,7.8
(2003 FF5),2088-04-14 00:03:00,0.02699,0.02699,7.53,7.52,23.3,58 m -  130 m,1.0,130.0
41429 (2000 GE2),2088-04-18 00:02:00,0.0237,0.0237,16.25,16.24,20.7,0.204±0.030 km,2.0,
(2013 GA80),2088-04-19 00:02:00,0.0495,0.04947,17.2,17.2,21.5,130 m -  300 m,1.0,300.0
(2020 WY),2088-04-22 10:05:00,0.02969,0.02936,1.63,1.58,26.2,15 m -   34 m,0.0,34.0
(2018 GR2),2088-05-12 16:54:00,0.04337,0.04014,9.64,9.63,22.5,84 m -  190 m,0.0,190.0
(2019 KG2),2088-05-29 00:50:00,0.01078,0.00974,12.28,12.26,25.9,18 m -   39 m,0.0,39.0
(2020 KY),2088-06-10 13:15:00,0.04983,0.02209,2.35,2.33,26.2,15 m -   34 m,0.0,34.0
(2013 YA14),2088-06-16 00:01:00,0.0487,0.04869,11.53,11.53,23.8,46 m -  100 m,0.0,100.0
152637 (1997 NC1),2088-06-27 00:05:00,0.02451,0.02446,8.75,8.74,17.9,710 m -  1.6 km,2.0,
(2011 MW1),2088-07-24 00:04:00,0.03862,0.03858,8.99,8.99,22.3,92 m -  210 m,1.0,210.0
137108 (1999 AN10),2088-08-05 00:55:00,0.03469,0.03378,25.62,25.61,18.1,650 m -  1.5 km,2.0,
619106 (2005 SQ),2088-08-24 00:04:00,0.02581,0.02578,15.76,15.75,20.1,250 m -  560 m,2.0,560.0
(2005 FG),2088-09-05 00:01:00,0.01881,0.0188,7.03,7.01,23.9,44 m -   99 m,1.0,99.0
(2007 GU4),2088-09-23 00:02:00,0.02429,0.02427,13.02,13.01,22.6,78 m -  180 m,1.0,180.0
(2018 ER1),2088-10-05 13:13:00,0.01633,0.01251,4.91,4.88,25.6,20 m -   45 m,0.0,45.0
497117 (2004 FU4),2088-10-24 00:31:00,0.01416,0.01379,13.86,13.85,18.4,570 m -  1.3 km,3.0,
(2020 VA4),2088-11-03 02:13:00,0.01504,0.01052,4.32,4.28,27.4,8.7 m -   19 m,0.0,19.0
(2021 TN3),2088-11-16 00:24:00,0.04275,0.0427,5.79,5.78,25.3,23 m -   52 m,0.0,52.0
(2019 WG2),2088-11-20 14:53:00,0.04396,0.03285,14.19,14.18,24.9,27 m -   61 m,0.0,61.0
(2016 WU7),2088-11-24 10:16:00,0.03693,0.01206,16.59,16.58,25.2,24 m -   54 m,0.0,54.0
415713 (1998 XX2),2088-11-26 00:04:00,0.02285,0.02284,7.61,7.6,19.9,270 m -  610 m,2.0,610.0
(2012 VK5),2088-12-07 00:51:00,0.04864,0.04855,6.41,6.4,24.7,30 m -   68 m,0.0,68.0
(2019 XW),2088-12-10 00:22:00,0.01755,0.01735,15.29,15.28,23.9,45 m -  100 m,1.0,100.0
(2020 YC),2088-12-27 00:15:00,0.01842,0.01687,7.63,7.62,25.9,18 m -   40 m,0.0,40.0
